driverId,week,hours-logged,miles-logged
712,30,58,600
850,48,78,2100
297,17,64,2200
454,6,73,3300
165,45,73,1500
907,43,78,3400
998,11,64,100
849,9,76,1200
144,3,80,2700
25,8,80,600
67,28,77,1300
242,12,79,1900
485,17,77,700
530,22,75,3800
452,1,54,3700
440,47,62,2200
560,10,54,1000
284,7,74,1300
905,39,79,700
504,16,71,3000
1005,40,53,3200
375,36,50,900
290,46,55,800
920,28,73,700
505,3,68,2600
632,44,56,3000
164,15,70,1100
899,15,61,2900
323,17,50,300
775,38,77,3600
284,7,72,2800
103,9,55,3800
255,43,67,3100
656,20,73,3100
758,39,65,2800
255,25,58,1500
593,9,78,1600
562,52,65,2200
721,35,50,700
985,15,65,2900
166,20,67,400
108,17,51,2500
398,1,63,2400
908,38,54,2400
216,37,50,2300
459,35,50,200
945,40,59,300
439,14,58,700
650,25,53,2100
986,46,56,2200
305,25,51,3900
327,47,58,2100
252,24,56,1500
208,51,67,900
956,22,59,1500
690,38,63,2300
415,11,57,3600
284,5,50,200
63,40,72,2900
123,48,54,1600
899,12,78,3900
644,5,68,1200
607,41,66,600
637,32,78,500
538,22,59,1000
326,15,58,300
733,45,51,2800
212,44,60,400
185,39,51,3100
661,39,50,2900
280,15,67,2100
634,52,64,1300
844,10,55,3700
280,28,69,2500
907,33,71,3000
832,26,56,1700
297,39,71,1300
704,18,63,700
299,17,80,2700
251,16,70,200
835,12,64,0
910,26,73,1800
550,14,59,2400
889,32,53,3400
24,32,62,1400
31,10,62,2600
597,4,67,200
822,24,52,3900
606,36,55,100
925,46,59,2500
393,24,69,3200
455,27,71,2000
746,46,54,800
303,46,67,3000
600,33,77,1600
63,27,61,600
708,31,69,200
858,50,68,0
986,47,53,1600
594,40,65,700
733,48,75,3300
107,21,78,0
829,23,66,700
472,33,61,3100
161,2,73,2200
536,9,60,3200
394,19,79,3700
485,10,73,100
648,3,55,2700
450,10,58,700
168,4,70,2500
836,2,50,3800
959,28,79,1100
402,8,53,3800
183,9,59,3600
167,34,66,600
761,4,63,1300
267,5,51,1300
1000,15,68,2800
738,52,79,1800
272,26,78,200
181,41,53,2100
551,27,78,0
947,19,53,4000
331,31,75,3800
82,44,59,1000
560,24,63,2900
132,39,51,1800
819,21,59,2000
41,20,64,1800
46,44,57,2300
115,47,76,1400
338,34,69,900
783,13,65,1800
215,1,76,3300
786,40,50,2700
174,41,76,3400
567,29,69,4000
308,44,64,1300
704,47,61,2700
834,41,67,2700
765,42,63,3900
938,47,69,1200
237,24,79,100
981,44,78,3100
919,1,61,1900
54,15,60,2000
618,15,75,300
58,30,62,1000
550,10,56,3200
388,31,77,0
407,49,78,1400
898,6,77,600
809,12,59,1900
507,14,76,2200
164,45,80,200
526,12,56,2600
931,10,65,2300
789,11,64,3500
426,50,57,2800
1001,11,67,3400
646,40,78,2400
657,39,58,1500
928,25,64,2700
788,12,73,3000
821,22,61,3800
168,19,53,2700
279,17,60,800
988,51,73,1400
817,14,79,1400
165,20,73,3400
718,19,50,600
593,11,52,800
1004,25,56,800
816,31,54,3800
784,47,60,1800
205,42,73,200
604,36,60,800
76,45,74,300
676,38,53,2900
603,12,54,100
482,7,55,3500
798,1,58,200
558,27,72,3600
567,14,71,200
503,16,50,3700
209,49,51,400
330,27,77,2700
247,33,69,800
546,50,73,3500
42,40,55,3700
600,24,54,2800
765,46,56,3900
939,1,60,2600
656,33,56,1800
617,13,59,300
758,50,70,1700
469,19,63,2000
811,7,69,2100
232,1,77,1300
318,1,51,1000
827,25,64,900
834,20,68,1400
733,3,57,1200
134,5,59,3700
193,2,74,3900
544,11,51,1800
844,37,56,1100
885,31,75,2600
482,26,57,3700
531,26,56,2000
46,48,50,600
382,27,75,200
589,48,73,2900
591,30,60,2300
78,14,68,1300
740,37,79,2600
624,31,55,2700
450,17,75,1400
796,14,62,3900
654,17,76,2700
625,30,72,800
290,4,70,600
114,18,66,3400
962,36,67,1100
421,21,60,3300
524,19,53,1100
657,51,52,0
613,41,60,100
878,9,51,0
406,39,53,3700
328,43,51,2500
629,18,59,2700
182,25,66,800
548,46,55,200
471,13,66,3200
882,7,53,300
120,19,66,3700
160,42,61,600
435,35,62,4000
761,25,76,2500
831,9,54,4000
393,22,52,800
90,40,54,3100
461,45,56,100
944,18,52,1800
932,36,80,400
98,34,66,2600
179,43,54,900
325,52,76,1800
465,33,80,1000
593,4,66,3800
737,33,56,2500
535,43,58,2700
85,51,71,1100
867,1,56,1000
91,34,63,1100
751,45,68,2400
828,42,61,3600
218,39,72,700
135,35,59,700
450,45,77,1800
720,34,71,500
815,33,67,2400
972,25,67,2500
202,40,56,3900
55,1,63,1900
645,26,50,2600
743,3,64,3600
920,39,59,600
264,29,79,200
855,31,55,1300
711,7,66,1400
121,16,51,1900
519,3,73,2100
978,33,78,3100
135,23,53,0
748,16,53,1800
361,20,72,3000
738,38,79,1100
858,46,51,300
194,33,52,1300
747,13,61,100
543,40,73,1900
259,39,65,900
236,43,75,600
586,39,58,400
818,2,58,3500
847,16,57,1900
42,30,63,3500
53,45,65,1900
243,3,79,900
839,45,70,2900
769,43,76,2400
535,14,61,2300
128,44,52,3600
860,7,69,2900
587,14,51,1800
365,27,63,400
551,33,63,1400
986,13,53,1300
250,32,52,3000
722,47,57,3900
425,35,61,1300
